total,6–19 employees
total,total
total,total
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,total
total,total
total,6–19 employees
total,total
total,6–19 employees
total,total
total,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,total
total,total
total,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,total
total,total
total,total
total,total
total,total
total,6–19 employees
total,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,total
total,6–19 employees
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,total
total,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,20–49 employees
total,20–49 employees
total,total
total,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
Construction,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,total
Construction,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,total
total,6–19 employees
total,20–49 employees
total,6–19 employees
total,6–19 employees
total,total
total,total
total,6–19 employees
total,20–49 employees
total,6–19 employees
total,6–19 employees
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,20–49 employees
total,total
total,20–49 employees
total,total
total,6–19 employees
total,total
total,total
total,total
total,6–19 employees
total,total
total,6–19 employees
total,20–49 employees
total,20–49 employees
total,20–49 employees
total,6–19 employees
total,total
Construction,total
total,total
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
Accommodation & food services,total
total,6–19 employees
total,total
total,20–49 employees
total,total
total,6–19 employees
Construction,total
Construction,total
total,6–19 employees
Accommodation & food services,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,20–49 employees
total,6–19 employees
total,6–19 employees
total,total
total,total
total,20–49 employees
total,20–49 employees
total,20–49 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
Construction,total
Construction,total
Construction,total
Manufacturing,total
total,total
Manufacturing,total
total,total
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
total,total
total,total
Construction,total
Construction,total
total,6–19 employees
total,20–49 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
Retail trade,total
Retail trade,total
total,total
total,6–19 employees
total,total
total,6–19 employees
total,total
total,6–19 employees
total,20–49 employees
total,6–19 employees
total,total
total,6–19 employees
Accommodation & food services,total
total,total
total,total
total,total
Accommodation & food services,total
total,total
total,total
total,total
"Professional, scientific, & technical services",total
total,total
total,6–19 employees
total,total
total,6–19 employees
total,total
total,6–19 employees
total,6–19 employees
total,total
total,6–19 employees
Accommodation & food services,total
Manufacturing,total
Accommodation & food services,total
total,20–49 employees
total,total
total,total
total,6–19 employees
"Professional, scientific, & technical services",total
total,6–19 employees
Accommodation & food services,total
total,6–19 employees
"Professional, scientific, & technical services",total
Construction,total
total,6–19 employees
total,20–49 employees
total,6–19 employees
total,total
Manufacturing,total
total,6–19 employees
Manufacturing,total
total,total
total,6–19 employees
"Professional, scientific, & technical services",total
Retail trade,total
total,6–19 employees
total,6–19 employees
total,6–19 employees
total,20–49 employees
total,6–19 employees
"Professional, scientific, & technical services",total
total,20–49 employees
Manufacturing,total
total,total
Construction,total
total,6–19 employees
Construction,total
Manufacturing,total
total,6–19 employees
"Professional, scientific, & technical services",total
Construction,total
Other professional scientific,total
total,total
Other professional scientific,total
total,6–19 employees
total,6–19 employees
Construction,total
Manufacturing,total
Retail trade,total
total,20–49 employees
total,20–49 employees
total,20–49 employees
"Professional, scientific, & technical services",total
Accommodation & food services,total
total,6–19 employees
total,total
Construction,total
total,total
total,6–19 employees
total,total
Retail trade,total
total,20–49 employees
total,6–19 employees
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
total,total
total,total
"Professional, scientific, & technical services",total
Construction,total
total,total
total,6–19 employees
total,6–19 employees
Construction,total
total,6–19 employees
total,6–19 employees
total,total
total,total
total,total
total,6–19 employees
Accommodation & food services,total
total,6–19 employees
Retail trade,total
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
total,total
total,20–49 employees
Manufacturing,total
total,total
Retail trade,total
Accommodation & food services,total
total,total
total,6–19 employees
total,6–19 employees
Retail trade,total
"Agriculture, forestry, & fishing",total
total,6–19 employees
Other professional scientific,total
Accommodation & food services,total
total,6–19 employees
Accommodation & food services,total
total,total
total,total
total,total
total,total
Accommodation & food services,total
Construction,total
total,6–19 employees
total,20–49 employees
total,total
Retail trade,total
total,6–19 employees
total,total
Other professional scientific,total
total,6–19 employees
total,6–19 employees
Accommodation & food services,total
total,20–49 employees
Manufacturing,total
total,20–49 employees
Retail trade,total
Manufacturing,total
total,20–49 employees
total,total
Construction,total
Construction,total
Other professional scientific,total
Construction,total
Other professional scientific,total
total,total
total,6–19 employees
total,total
"Agriculture, forestry, & fishing",total
Manufacturing,total
"Agriculture, forestry, & fishing",total
"Agriculture, forestry, & fishing",total
total,total
Accommodation & food services,total
total,20–49 employees
total,20–49 employees
total,6–19 employees
Construction,total
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
total,20–49 employees
total,total
Other professional scientific,total
total,6–19 employees
total,20–49 employees
Construction,total
Construction,total
total,6–19 employees
total,20–49 employees
Retail trade,total
Construction,total
total,20–49 employees
total,20–49 employees
Manufacturing,total
total,6–19 employees
"Professional, scientific, & technical services",total
total,6–19 employees
Accommodation & food services,total
total,20–49 employees
total,20–49 employees
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
Construction,total
Other professional scientific,total
"Professional, scientific, & technical services",total
total,20–49 employees
Manufacturing,total
Manufacturing,total
total,6–19 employees
total,total
total,6–19 employees
Retail trade,total
Construction,total
total,total
total,total
total,total
Manufacturing,total
total,total
Other professional scientific,total
total,20–49 employees
total,total
total,6–19 employees
Construction,total
Other professional scientific,total
total,20–49 employees
Construction,total
total,6–19 employees
"Professional, scientific, & technical services",total
total,total
Retail trade,total
total,20–49 employees
Other professional scientific,total
total,20–49 employees
Other professional scientific,total
Construction,total
total,total
Accommodation & food services,total
Wholesale trade,total
total,20–49 employees
Accommodation & food services,total
total,6–19 employees
total,6–19 employees
Other professional scientific,total
Accommodation & food services,total
total,total
Accommodation & food services,total
total,total
Construction,total
"Agriculture, forestry, & fishing",total
Other professional scientific,total
total,6–19 employees
Construction,total
Accommodation & food services,total
total,20–49 employees
Wholesale trade,total
total,20–49 employees
Accommodation & food services,total
total,6–19 employees
total,total
Manufacturing,total
total,20–49 employees
total,20–49 employees
Accommodation & food services,total
Construction,total
Accommodation & food services,total
Construction,total
total,total
total,total
total,6–19 employees
total,20–49 employees
Accommodation & food services,total
total,20–49 employees
total,6–19 employees
total,total
total,total
"Agriculture, forestry, & fishing",total
total,total
Manufacturing,total
total,total
Manufacturing,total
"Agriculture, forestry, & fishing",total
Retail trade,total
Construction,total
Construction,total
Manufacturing,total
total,20–49 employees
total,20–49 employees
total,6–19 employees
Manufacturing,total
total,total
Manufacturing,total
total,6–19 employees
Health care & social assistance,total
total,total
total,20–49 employees
total,6–19 employees
total,total
Health care & social assistance,total
total,20–49 employees
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
Accommodation & food services,total
Accommodation & food services,total
"Professional, scientific, & technical services",total
Accommodation & food services,total
"Professional, scientific, & technical services",total
total,total
Accommodation & food services,total
total,20–49 employees
Manufacturing,total
Other professional scientific,total
total,20–49 employees
Construction,total
Accommodation & food services,total
"Agriculture, forestry, & fishing",total
total,6–19 employees
Retail trade,total
Accommodation & food services,total
Accommodation & food services,total
Other professional scientific,total
"Agriculture, forestry, & fishing",total
total,20–49 employees
Accommodation & food services,total
total,6–19 employees
total,6–19 employees
Construction,total
Construction,total
Wholesale trade,total
Accommodation & food services,total
Construction,total
Manufacturing,total
total,20–49 employees
Retail trade,total
Accommodation & food services,total
total,total
total,6–19 employees
Retail trade,total
total,20–49 employees
total,20–49 employees
"Agriculture, forestry, & fishing",total
Construction,total
Construction,total
total,20–49 employees
total,6–19 employees
Construction,total
Accommodation & food services,total
total,total
Wholesale trade,total
total,total
Construction,total
"Agriculture, forestry, & fishing",total
Manufacturing,total
Other professional scientific,total
Retail trade,total
Retail trade,total
Other professional scientific,total
total,6–19 employees
Retail trade,total
total,6–19 employees
total,6–19 employees
"Agriculture, forestry, & fishing",total
Accommodation & food services,total
total,6–19 employees
total,total
"Agriculture, forestry, & fishing",total
Accommodation & food services,total
Health care & social assistance,total
total,20–49 employees
Accommodation & food services,total
total,20–49 employees
"Professional, scientific, & technical services",total
total,6–19 employees
Accommodation & food services,total
total,20–49 employees
"Professional, scientific, & technical services",total
total,20–49 employees
total,6–19 employees
Manufacturing,total
Other professional scientific,total
Other professional scientific,total
Retail trade,total
Manufacturing,total
total,20–49 employees
Manufacturing,total
total,6–19 employees
Other professional scientific,total
total,6–19 employees
total,6–19 employees
total,20–49 employees
total,total
Construction,total
Retail trade,total
total,20–49 employees
Manufacturing,total
"Professional, scientific, & technical services",total
Construction,total
Retail trade,total
total,20–49 employees
total,20–49 employees
total,6–19 employees
total,6–19 employees
Accommodation & food services,total
Accommodation & food services,total
Construction,total
Construction,total
Retail trade,total
Manufacturing,total
Manufacturing,total
"Professional, scientific, & technical services",total
total,6–19 employees
Manufacturing,total
total,total
total,total
Retail trade,total
"Professional, scientific, & technical services",total
total,total
Agriculture,total
Wholesale trade,total
"Professional, scientific, & technical services",total
Health care & social assistance,total
Retail trade,total
Accommodation & food services,total
Wholesale trade,total
Construction,total
Manufacturing,total
total,total
total,20–49 employees
total,20–49 employees
Construction,total
Accommodation & food services,total
"Professional, scientific, & technical services",total
total,total
total,20–49 employees
"Professional, scientific, & technical services",total
Accommodation & food services,total
Accommodation & food services,total
total,6–19 employees
"Professional, scientific, & technical services",total
total,20–49 employees
Construction,total
Accommodation & food services,total
"Professional, scientific, & technical services",total
total,6–19 employees
"Agriculture, forestry, & fishing",total
"Professional, scientific, & technical services",total
Accommodation & food services,total
total,6–19 employees
Construction,total
Health care & social assistance,total
total,6–19 employees
"Professional, scientific, & technical services",total
Accommodation & food services,total
Accommodation & food services,total
Health care & social assistance,total
total,total
Accommodation & food services,total
total,20–49 employees
Construction,total
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
Accommodation & food services,total
total,20–49 employees
Construction,total
Manufacturing,total
total,6–19 employees
total,total
"Professional, scientific, & technical services",total
Retail trade,total
Construction,total
total,20–49 employees
Accommodation & food services,total
Health care & social assistance,total
"Agriculture, forestry, & fishing",total
total,50–99 employees
Accommodation & food services,total
total,20–49 employees
Accommodation & food services,total
Manufacturing,total
Agriculture,total
Wholesale trade,total
Health care & social assistance,total
total,20–49 employees
Construction,total
Construction,total
Retail trade,total
total,total
"Professional, scientific, & technical services",total
Accommodation & food services,total
total,50–99 employees
Wholesale trade,total
Accommodation & food services,total
total,6–19 employees
Accommodation & food services,total
Other professional scientific,total
Agriculture,total
Accommodation & food services,total
Health care & social assistance,total
Accommodation & food services,total
total,20–49 employees
Manufacturing,total
"Professional, scientific, & technical services",total
total,total
Manufacturing,total
total,6–19 employees
Other professional scientific,total
Accommodation & food services,total
total,total
"Agriculture, forestry, & fishing",total
total,20–49 employees
total,6–19 employees
"Professional, scientific, & technical services",total
Manufacturing,total
total,20–49 employees
Other professional scientific,total
total,6–19 employees
Manufacturing,total
Health care & social assistance,total
total,20–49 employees
"Professional, scientific, & technical services",total
total,total
Accommodation & food services,total
total,20–49 employees
Accommodation & food services,total
total,20–49 employees
Other professional scientific,total
total,total
total,6–19 employees
Accommodation & food services,total
total,6–19 employees
"Agriculture, forestry, & fishing",total
Accommodation & food services,total
Health care & social assistance,total
Retail trade,total
total,total
Construction,total
total,6–19 employees
"Professional, scientific, & technical services",total
Accommodation & food services,total
Accommodation & food services,total
Agriculture,total
"Professional, scientific, & technical services",total
Construction,total
Wholesale trade,total
total,total
Health care & social assistance,total
total,20–49 employees
Accommodation & food services,total
Accommodation & food services,total
"Professional, scientific, & technical services",total
Accommodation & food services,total
Accommodation & food services,total
Other wholesale trade,total
Accommodation & food services,total
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
total,6–19 employees
Construction,total
Manufacturing,total
total,total
"Professional, scientific, & technical services",total
Retail trade,total
Wholesale trade,total
"Professional, scientific, & technical services",total
total,6–19 employees
Construction,total
total,6–19 employees
total,6–19 employees
total,total
"Professional, scientific, & technical services",total
total,total
Accommodation & food services,total
Retail trade,total
"Professional, scientific, & technical services",total
"Professional, scientific, & technical services",total
total,20–49 employees
Retail trade,total
Accommodation & food services,total
Construction,total
Other professional scientific,total
total,6–19 employees
total,20–49 employees
total,20–49 employees
Manufacturing,total
"Professional, scientific, & technical services",total
Construction,total
total,20–49 employees
Agriculture,total
Wholesale trade,total
total,6–19 employees
Retail trade,total
Accommodation & food services,total
total,20–49 employees
Health care & social assistance,total
Retail trade,total
Manufacturing,total
total,20–49 employees
"Professional, scientific, & technical services",total
Construction,total
"Agriculture, forestry, & fishing",total
Accommodation & food services,total
total,20–49 employees
"Agriculture, forestry, & fishing",total
Retail trade,total
total,20–49 employees
total,20–49 employees
Accommodation & food services,total
Other professional scientific,total
Other wholesale trade,total
total,6–19 employees
total,20–49 employees
total,20–49 employees
Construction,total
total,6–19 employees
total,20–49 employees
Construction,total
total,20–49 employees
Accommodation & food services,total
total,6–19 employees
Other professional scientific,total
total,total
Construction,total
Manufacturing,total
total,20–49 employees
"Agriculture, forestry, & fishing",total
total,20–49 employees
Retail trade,total
total,total
Agriculture,total
Health care & social assistance,total
total,20–49 employees
Other professional scientific,total
total,20–49 employees
Agriculture,total
Agriculture,total
total,20–49 employees
Manufacturing,total
total,20–49 employees
total,20–49 employees
Accommodation & food services,total
total,total
Construction,total
Retail trade,total
"Agriculture, forestry, & fishing",total
total,20–49 employees
total,20–49 employees
Retail trade,total
Accommodation & food services,total
Wholesale trade,total
Health care & social assistance,total
Retail trade,total
Construction,total
Other professional scientific,total
Health care & social assistance,total
"Agriculture, forestry, & fishing",total
"Agriculture, forestry, & fishing",total
"Professional, scientific, & technical services",total
Manufacturing,total
Wholesale trade,total
total,20–49 employees
total,6–19 employees
"Professional, scientific, & technical services",total
Retail trade,total
Construction,total
Health care & social assistance,total
Construction,total
total,20–49 employees
Other professional scientific,total
